Category	Procedure	CPT code
Pain	Bilateral Cervical RFA 2 Levels (With Sedation)	64633-50,64634-50
Pain	Bilateral Lumbar Facet Injection	64493x2
Pain	Bilateral Lumbar Facet Injection ($150 For Each Additional Level, Office)	64493-50
Pain	Bilateral Lumbar RFA 1 Level (With Sedation)	64635-50
Pain	Bilateral Lumbar RFA 2 Levels (With Sedation)	64635-50,64636-50
Pain	Bilateral Lumbar Transforaminal ESI 1 Level (With Sedation)	64483-50
Pain	Bilateral Lumbar Transforaminal ESI 2 Levels (With Sedation)	64483-50,64484-50
Pain	Bilateral Lumbar Transforaminal Injection ($150 For Each Additional Level, Office)	64484
Pain	Bilateral MBB Cervical 1 Level (With Sedation)	64490-50
Pain	Bilateral MBB Cervical 2 Levels (With Sedation)	64490-50,64491-50
Pain	Bilateral MBB Lumbar 1 Level (With Sedation)	64493-50
Pain	Bilateral MBB Lumbar 2 Levels (With Sedation)	64493-50,64494-50
Pain	Bilateral SI Joint Injection (Office)	27096-50
Pain	Cervical Epidural Steroid Injection	
Pain	Cervical Epidural Steroid Injection	62310,62321,62323
Pain	Cervical ESI (Office)	62323
Pain	Cervical Facet Injection	64490
Pain	Cervical Facet Injection ($100 For Each Additional Level, Office)	64490
Pain	Cervical Facet Injection 2	64490
Pain	Cervical Facet Injection 3	64490,64491,64492
Pain	Cervical Facet Radiofrequency Ablation 2 Levels	64633,64634
Pain	Cervical Facet Radiofrequency Ablation 3 Levels	64633,64634
Pain	Cervical RFA 1 Level (With Sedation)	64633
Pain	Cervical RFA 2 Levels (With Sedation)	64633,64634
Pain	Cervical Sympathetic (With Sedation)	64510
Pain	Cervical Translaminar Injection (Office)	62321
Pain	Coccygeal Injection	64450
Pain	Continuous Infusion, Regional Block (Pain Control Catheter)	64446,64447,64448,64416
Pain	Discogram (Office)	62290
Pain	Discogram (With Sedation)	62290,72295
Pain	Epidural Blood Patch	62275
Pain	Epidural Injection (Office)	62321
Pain	Intra-Articular Injection (Knee, Hip or Shoulder, Office)	20610
Pain	Lumbar Epidural Steroid (Hospital)	62322
Pain	Lumbar Epidural Steroid Injection	62311
Pain	Lumbar Epidural Steroid Injection (With Sedation)	62322,62323
Pain	Lumbar ESI (Office)	62323
Pain	Lumbar Facet Injection	64493
Pain	Lumbar Facet Injection ($100 For Each Additional Level, Office)	64493
Pain	Lumbar Facet Injection 2	64493,64494
Pain	Lumbar Facet Injection 2 (Office)	64493,64494
Pain	Lumbar Facet Injection 3	64493,64494,64495
Pain	Lumbar Facet Injection 3 (Office)	64493,64494,64495
Pain	Lumbar Facet Radiofrequency Ablation 1 Level	64635
Pain	Lumbar Facet Radiofrequency Ablation 2 Levels	64635,64636
Pain	Lumbar Facet Radiofrequency Ablation 3 Levels	64635,64636x2
Pain	Lumbar Hardware Bursa Injection	20610
Pain	Lumbar Hardware Bursa Injection (Office)	20610
Pain	Lumbar RFA 1 Level (With Sedation)	64635
Pain	Lumbar RFA 2 Levels (With Sedation)	64635,64636
Pain	Lumbar Sympathetic	64520
Pain	Lumbar Transforaminal ESI 1 Level (With Sedation)	64483
Pain	Lumbar Transforaminal ESI 2 Levels (With Sedation)	64483,64484
Pain	Lumbar Transforaminal Injection ($100 For Each Additional Level, Office)	64483
Pain	Lumbar Translaminar Injection (Office)	62323
Pain	MBB Cervical 1 Level (With Sedation)	64490
Pain	MBB Cervical 2 Levels (With Sedation)	64490,64491
Pain	MBB Lumbar 1 Level (With Sedation)	64493
Pain	MBB Lumbar 2 Levels (With Sedation)	64493,64494
Pain	Occipital Nerve Block	64405
Pain	Reblock for Acute Postop Pain	64415
Pain	SCS Permanent with Battery Placement One Lead (With Sedation)	63685,63650
Pain	SCS Permanent with Battery Placement Two Leads (With Sedation)	63685,63650
Pain	SCS Trial in Office One Lead (Office)	63650
Pain	SCS Trial in Office Two Leads (Office)	63650
Pain	SCS Trial One Lead (With Sedation)	63650
Pain	SCS Trial Two Leads (With Sedation)	63650x2
Pain	SI Joint Injection (Office)	27096
Pain	SI Joint Injection One level	27096
Pain	SI Joint Injection Two level	27096
Pain	Spinal Cord Stimulator	63685
Pain	Stellate Ganglion (Office)	64510
Pain	Stellate Ganglion Block	64510
Pain	Transforminal Cervical or Thoracic Epidural	64479
Pain	Transforminal Lumbar Injections	64483,64484
Pain	Trial Spinal Cord Stimulator	95972
Pediatric Dentistry	Trigger Point Injection 1-2 (Office)	20526
Pediatric Dentistry	Trigger Point Injection >2 (Office)	20526
Pediatric Dentistry	Dental Restoration (Level 1)	41899
Pediatric Dentistry	Dental Restoration (Level 2)	41899
Shoulder	Dental Restoration (Level 3)	41899
Shoulder	Acromioclavicular Joint Reconstruction	23552
Shoulder	Arthroscopic Biceps Repair (Tenodesis)	29828
Shoulder	Arthroscopic Labral Repair	29807
Shoulder	Bankhart Stabilization	23455
Shoulder	Continuous Infusion, Regional Block (Pain Control Catheter)	64446,64447,64448,64416
Shoulder	Distal Clavicle Excision	23170
Shoulder	Distal Clavicle Excision (arthroscopic)	29824
Shoulder	Extensive Debridement, Shoulder	29823
Shoulder	Manipulation, Shoulder	23700
Shoulder	Open Rotator Cuff Repair	23410
Shoulder	Repair Pectoralis Muscle Rupture	24341
Shoulder	Repair, Tendon or Muscle, Upper Arm or Elbow, Each Tendon or Muscle, Primary or Secondary (Excludes Rotator Cuff)	24341
Shoulder	Rotator Cuff Repair (Arthroscopic)	29827
Shoulder	Rotator Cuff Repair with Biceps Tenodesis (Open)	23410,23412,23430
Shoulder	Shoulder	29806
Shoulder	Shoulder Arthroplasty (Total Shoulder, Implants Additional, At Our Cost)	23472
Shoulder	Subacromial Decompression	29826
Shoulder	Total Shoulder Replacement (Inpatient)	23472
Spine	360 Fusion 2 Level	0SG00A0,0SG00K1,0SG30A0,0SG30K1
Spine	ALIF 1 Level	22558,22845,20931,22612,22840,63047,20937,20936,20930
Spine	Anterior Cervical Discectomy with Fusion, 1 Level (Includes Hardware)	22551
Spine	Anterior Cervical Discectomy with Fusion, 2 Levels (Includes Hardware)	22552
Spine	C4-7 Fusion	22551,22552,22846,20931
Spine	Cervical Corpectomy	63081,22551,22845
Spine	Cervical Disc Replacement	22856,22858
Spine	Discogram 2 Levels ($500 Plus $250 For Each Additional Level)	62290,62290-50,72131
Spine	Excision Coccygeal Mass	27041
Spine	Kyphoplasty (In Office)	22511
Spine	Kyphoplasty 2 Levels (In Office)	22513,22515
Spine	L2-3 Right Laminotomy for Discectomy	63030,69990
Spine	L4-5 Hemilaminectomy/Decompression (Inpatient)	63047,69990
Spine	Laminectomy/Spinal Cord Stimulator (Inpatient)	63655,63685,95971
Spine	Lumbar Discectomy/Laminectomy (Inpatient)	63056,69990,63042,63030
Spine	Lumbar Fusion 2 Level (Inpatient)	22558,22612,22614,22633
Spine	Lumbar Fusion, 1 Level (Inpatient)	22558
Spine	Lumbar Laminectomy	63047
Spine	Lumbar Puncture (Laboratory Charges Not Included)	62270
Spine	Microdiscectomy	63030
Spine	Occipital Nerve Stimulator Removal	64585
Spine	One-Level ACDF (Inpatient)	22551,22845,22855
Spine	Post. Cerv. Lamin. Decompr. 3 Level	63015,69990
Spine	Posterior Instr. Removal and Exploration of Fusion	22850,22830
Spine	T6-Pelvis Revision of Posterior Fusion with Ponte Osteotomy (Without Implants, Inpatient)	22612,22614,22844,22212,22216,22848,20937,20936,20930
Throat	Two-Level ACDF (Inpatient)	22551,22552,22845,20931
Throat	Adenoidectomy	42830
Throat	Adenoidectomy and BMT	4283069436
Throat	Adenoidectomy with Nasal Turbinate Reduction	42830,30140
Throat	Adenoidectomy, Ear Tubes and Nasal Turbinate Reduction	42830,69436,30140
Throat	Biopsy Hard Palate Lesion	42100
Throat	Biopsy Tongue	41105
Throat	Diagnostic Laryngoscopy with Biopsy	31510
Throat	Direct Laryngoscopy (Inpatient)	31529
Throat	Endoscopy Procedures on the Larynx	31579
Throat	Esophagoscopy With or Without Dilatation/Biopsy	43200
Throat	Excise Palate or Uvula Lesion With Closure	42107
Throat	Excise Palate or Uvula Lesion Without Closure	42104
Throat	Excision Branchial Cleft Cyst	42815
Throat	Excision Submandibular Gland	42440
Throat	Frenulectomy	40819
Throat	Frenulectomy (Tongue and Lip)	41115,40819
Throat	Frenulectomy (Tongue Only)	41115
Throat	Isshiki Thyroplasty	31599
Throat	Laryngoplasty and Arytenoidpexy	31599,31400
Throat	Nasopharyngeal Biopsy	31257
Throat	Partial Glossectomy	41120
Throat	Partial Glossectomy with Neck Dissection, Unilateral	41135
Throat	Septoplasty-Turbinate Resection with Tonsillectomy	30520,30140,42825,42826
Throat	Sialolithotomy	42335
Throat	Thyroglossal Duct Cyst Excision	60280,60281
Throat	Tonsillectomy	4282542826
Throat	Tonsillectomy / BMT	4282669436
Throat	Tonsillectomy / BMT	4282569436
Throat	Tonsillectomy and Adenoidectomy	4282042821
Throat	Tonsillectomy and Adenoidectomy and BMT	4282069436
Throat	Tonsillectomy and Direct Laryngoscopy	42825,42826,31535
Throat	Tonsillectomy and Nasal Turbinate Reduction	42826,30140
Throat	Tonsillectomy, Adenoidectomy and Nasal Turbinate Reduction	42820,30140
Throat	Tonsillectomy, Adenoidectomy and Septoplasty	42820,30520
Throat	Tonsillectomy, Adenoidectomy, Ear Tubes, Nasal Turbinate Reduction	42820,69436,30140
Throat	UPP	42145
Throat	Uvulectomy	42140
Urology	Vocal Cord Laser/Injection/Stripping	31541,31510
Urology	Anterior and Posterior Repair	57260
Urology	Anterior Repair	57240
Urology	Aspiration, Hydrocele	55000
Urology	Bladder Repair (Inpatient)	57288
Urology	Circumcision	54160
Urology	Circumcision (Office)	54160
Urology	Complete Renal Ultrasound	76770
Urology	Corpora Cavernosa Shunt	54420,54430
Urology	Cryotherapy, Prostate	55873,55866
Urology	Cysto (Office)	52000
Urology	Cystoscopy for Stone / Stent Placement	52332
Urology	Cystoscopy with Pyelography	52351
Urology	Cystoscopy with Retrograde Pyelogram and Prostate Biopsy	52351,55700
Urology	Cystoscopy with Stent Removal	52310
Urology	Epididymectomy – Partial	54860
Urology	Epididymectomy – Total	54860
Urology	Hydrocelectomy	55040
Urology	Hydrocelectomy, Bilateral	55041
Urology	Inguinal	49505
Urology	Inguinal Hernia Repair and Hydrocelectomy	49505,55040
Urology	Insertion of AMS 800 Urinary Sphincter	53445
Urology	Interstim Battery Change (Implant Not Included)	64581
Urology	Interstim Placement (Sacral Nerve Stimulator)	64581,64590,76000,95972
Urology	Interstim Trial	64561
Urology	Interstim Trial (PNE)	64561
Urology	Kidney Stone Removal (Inpatient)	52356
Urology	Laparoscopic Adrenalectomy	60650
Urology	Laparoscopic Vaginal Hysterectomy with Bladder Sling	58552,57288
Urology	Laparoscopic Vaginal Hysterectomy with Bladder Sling and A/P Repair	58552,57288,57260
Urology	Laser Tranurethral Resection of Prostate	52648
Urology	Lithotripsy (One Side)	
Urology	Lithotripsy, Bilateral	50590
Urology	Mini-Arc Urethral Suspension	57288
Urology	Orchiectomy	54530
Urology	Orchiopexy	54640
Urology	Penile Prosthesis (Does Not Include Implant)	54400
Urology	Penile Prosthesis Removal	54406
Urology	Percutaneous Nephrolithotomy	50081,50393,50080
Urology	Posterior Repair	57250
Urology	Radical Orchiectomy	
Urology	Robotic Prostatectomy	55866
Urology	Spermatocelectomy	54840
Urology	Stent Removal	52310
Urology	Testicular Biopsy	54500
Urology	Transperineal Urethroplasty	53010,53400
Urology	Transurethral Resection, Bladder Tumor	52234
Urology	Transurethral Resection, Prosate	52601
Urology	Ultrasound-Guided Prostate Biopsy	55700
Urology	Urethral Meatoplasty	53450
Urology	Urodynamics (Office)	51728,51797,51784,51741
Urology	Urolift (Minimally Invasive Treatment For Large Prostate), Implants Additional	52441,52442
Urology	Varicolectomy	55535
Urology	Vasectomy (Office)	55250
Wrist / Hand	Vasovasostomy	55400
Wrist / Hand	Carpal Tunnel Release	64721
Wrist / Hand	Carpal Tunnel Release, Bilateral	64721-50
Wrist / Hand	Cubital Tunnel Release with Carpal Tunnel Release	64721,64718,64708
Wrist / Hand	Digital Nerve Repair, Thumb	64910
Wrist / Hand	Distal Interphalangeal Joint Fusion (Finger)	26860
Wrist / Hand	Dupuytrens Contracture	25000
Wrist / Hand	Excision of Lesion of Tendon Sheath or Joint Capsule (e.g. Cyst, Mucous Cyst, or Ganglion)	26160
Wrist / Hand	Extensor Realignment Band Repair Little Finger/Synovectomy, Proximal Interphalangeal Joint, Including Extensor Reconstruction	26437,26140
Wrist / Hand	Extensor Tendon Repair (Hand)	24359
Wrist / Hand	Fasciectomy, Partial Palmar with Release of Single Digit including Proximal Interphalangeal Joint, with or without Z-plasty, other Local Tissue Rearrangement, or Skin Grafting	26123
Wrist / Hand	Ganglion Excision	25111
Wrist / Hand	Lunate Core Decompression (Hand) with Bone Graft	25035,20900
Wrist / Hand	Osteoplasty and Wrist Arthroscopy	25390,29846
Wrist / Hand	Proximal Row Carpectomy	25215
Wrist / Hand	Ray Amputation (Hand)	26952
Wrist / Hand	Repair Common Digital Nerve (Hand)	64831
Wrist / Hand	Repair Ulnar Collateral Ligament (Implant Not Included, If Necessary)	26540
Wrist / Hand	Saggital Band Repair (Finger)	26437
Wrist / Hand	Suspensionplasty, Arthroplasty, Interposition, Intercarpal or Carpometacarpal Joints	25447
Wrist / Hand	Synovectomy, Tendon Sheath, Radical (Tenosynovectomy), Flexor Tendon, Palm and/or Finger, Each Tendon	26145
Wrist / Hand	Trigger Finger	26055
Wrist / Hand	Wrist	29840
Wrist / Hand	Wrist Arthrotomy with Cyst Excision	26160,26110
	Wrist Fusion (Hardware $3300 Estimate Not Included)	25810,25800
